VisitID,KundID,Datum,Tid,Ar,Vecka,Besokstyp,PassID
V0000032,K0638,2024-01-01,10:00,2024,1,PASS,P02
V0000033,K0905,2024-01-01,10:00,2024,1,PASS,P02
V0000034,K0460,2024-01-01,10:00,2024,1,PASS,P02
V0000035,K0789,2024-01-01,10:00,2024,1,PASS,P02
V0000036,K0631,2024-01-01,10:00,2024,1,PASS,P02
V0000037,K0867,2024-01-01,10:00,2024,1,PASS,P02
V0000038,K0787,2024-01-01,10:00,2024,1,PASS,P02
V0000039,K0078,2024-01-01,10:00,2024,1,PASS,P02
V0000040,K0157,2024-01-01,10:00,2024,1,PASS,P02
V0000041,K0301,2024-01-01,10:00,2024,1,PASS,P02
V0000042,K0766,2024-01-01,10:00,2024,1,PASS,P02
V0000043,K0401,2024-01-01,10:00,2024,1,PASS,P02
V0000044,K0146,2024-01-01,10:00,2024,1,PASS,P02
V0000045,K0219,2024-01-01,10:00,2024,1,PASS,P02
V0000046,K0086,2024-01-01,10:00,2024,1,GYM,
V0000047,K0589,2024-01-01,10:10,2024,1,GYM,
V0000048,K0697,2024-01-01,10:35,2024,1,GYM,
V0000049,K0099,2024-01-01,10:55,2024,1,GYM,
V0000050,K0766,2024-01-01,10:55,2024,1,GYM,
V0000051,K0758,2024-01-01,11:00,2024,1,GYM,
V0000052,K0462,2024-01-01,11:15,2024,1,GYM,
V0000053,K0162,2024-01-01,11:20,2024,1,GYM,
V0000054,K0005,2024-01-01,11:55,2024,1,GYM,
V0000055,K0710,2024-01-01,12:05,2024,1,GYM,
V0000056,K0062,2024-01-01,12:15,2024,1,GYM,
V0000057,K0851,2024-01-01,13:35,2024,1,GYM,
V0000058,K0308,2024-01-01,14:05,2024,1,GYM,
V0000059,K0351,2024-01-01,14:40,2024,1,GYM,
V0000060,K0860,2024-01-01,14:55,2024,1,GYM,
V0000061,K0484,2024-01-01,15:25,2024,1,GYM,
V0000062,K0567,2024-01-01,15:45,2024,1,GYM,
V0000063,K0884,2024-01-01,15:50,2024,1,GYM,
V0000064,K0372,2024-01-01,16:40,2024,1,GYM,
V0000065,K0543,2024-01-01,16:45,2024,1,GYM,
V0000066,K0657,2024-01-01,17:20,2024,1,GYM,
V0000067,K0106,2024-01-01,17:30,2024,1,PASS,P03
V0000068,K0765,2024-01-01,17:30,2024,1,PASS,P03
V0000069,K0240,2024-01-01,17:30,2024,1,PASS,P03
V0000070,K0058,2024-01-01,17:30,2024,1,PASS,P03
V0000071,K0364,2024-01-01,17:30,2024,1,PASS,P03
V0000072,K0664,2024-01-01,17:30,2024,1,PASS,P03
V0000073,K0820,2024-01-01,17:30,2024,1,PASS,P03
V0000074,K0816,2024-01-01,17:30,2024,1,PASS,P03
V0000075,K0219,2024-01-01,17:30,2024,1,PASS,P03
V0000076,K0517,2024-01-01,17:30,2024,1,PASS,P03
V0000077,K0528,2024-01-01,17:30,2024,1,PASS,P03
V0000078,K0424,2024-01-01,17:30,2024,1,PASS,P03
V0000079,K0563,2024-01-01,17:30,2024,1,PASS,P03
V0000080,K0611,2024-01-01,17:30,2024,1,PASS,P03
V0000081,K0487,2024-01-01,17:30,2024,1,PASS,P03
V0000082,K0082,2024-01-01,17:30,2024,1,PASS,P03
V0000083,K0484,2024-01-01,17:30,2024,1,PASS,P03
V0000084,K0851,2024-01-01,19:00,2024,1,PASS,P04
V0000085,K0349,2024-01-01,19:00,2024,1,PASS,P04
V0000086,K0782,2024-01-01,19:00,2024,1,PASS,P04
V0000087,K0009,2024-01-01,19:00,2024,1,PASS,P04
V0000088,K0459,2024-01-01,19:00,2024,1,PASS,P04
V0000089,K0370,2024-01-01,19:00,2024,1,PASS,P04
V0000090,K0004,2024-01-01,19:00,2024,1,PASS,P04
V0000091,K0310,2024-01-01,19:00,2024,1,PASS,P04
V0000092,K0901,2024-01-01,19:00,2024,1,PASS,P04
V0000093,K0098,2024-01-01,19:00,2024,1,PASS,P04
V0000094,K0067,2024-01-01,19:00,2024,1,PASS,P04
V0000095,K0633,2024-01-01,19:00,2024,1,PASS,P04
V0000096,K0493,2024-01-01,19:00,2024,1,PASS,P04
V0000097,K0094,2024-01-01,19:00,2024,1,PASS,P04
V0000098,K0842,2024-01-01,19:00,2024,1,PASS,P04
V0000099,K0086,2024-01-01,19:00,2024,1,PASS,P04
V0000100,K0096,2024-01-01,19:00,2024,1,PASS,P04
V0000101,K0868,2024-01-01,19:00,2024,1,GYM,
V0000102,K0674,2024-01-01,19:20,2024,1,GYM,
V0000103,K0693,2024-01-01,20:25,2024,1,GYM,
V0000104,K0175,2024-01-01,20:35,2024,1,GYM,
V0000105,K0107,2024-01-01,21:00,2024,1,GYM,
V0000106,K0031,2024-01-01,21:10,2024,1,GYM,
V0000107,K0592,2024-01-01,21:25,2024,1,GYM,
V0000108,K0639,2024-01-02,06:10,2024,1,GYM,
V0000109,K0338,2024-01-02,06:25,2024,1,GYM,
V0000110,K0902,2024-01-02,06:45,2024,1,GYM,
V0000111,K0554,2024-01-02,07:10,2024,1,GYM,
V0000112,K0488,2024-01-02,07:35,2024,1,GYM,
V0000113,K0405,2024-01-02,08:00,2024,1,PASS,P05
V0000114,K0254,2024-01-02,08:00,2024,1,PASS,P05
V0000115,K0088,2024-01-02,08:00,2024,1,PASS,P05
V0000116,K0299,2024-01-02,08:00,2024,1,PASS,P05
V0000117,K0564,2024-01-02,08:00,2024,1,PASS,P05
V0000118,K0832,2024-01-02,08:00,2024,1,PASS,P05
V0000119,K0543,2024-01-02,08:00,2024,1,PASS,P05
V0000120,K0190,2024-01-02,08:00,2024,1,PASS,P05
V0000121,K0075,2024-01-02,08:00,2024,1,PASS,P05
V0000122,K0579,2024-01-02,08:00,2024,1,PASS,P05
V0000123,K0453,2024-01-02,08:00,2024,1,PASS,P05
V0000124,K0348,2024-01-02,08:00,2024,1,PASS,P05
V0000125,K0644,2024-01-02,08:00,2024,1,PASS,P05
V0000126,K0118,2024-01-02,08:00,2024,1,PASS,P05
V0000127,K0124,2024-01-02,08:00,2024,1,PASS,P05
V0000128,K0004,2024-01-02,08:00,2024,1,PASS,P05
V0000129,K0308,2024-01-02,08:00,2024,1,PASS,P05
V0000130,K0867,2024-01-02,08:10,2024,1,GYM,
V0000131,K0607,2024-01-02,08:20,2024,1,GYM,
V0000132,K0304,2024-01-02,08:30,2024,1,GYM,
V0000133,K0548,2024-01-02,08:40,2024,1,GYM,
V0000134,K0423,2024-01-02,08:45,2024,1,GYM,
V0000135,K0621,2024-01-02,08:45,2024,1,GYM,
V0000136,K0912,2024-01-02,09:25,2024,1,GYM,
V0000137,K0238,2024-01-02,09:35,2024,1,GYM,
V0000138,K0916,2024-01-02,09:50,2024,1,GYM,
V0000139,K0209,2024-01-02,09:55,2024,1,GYM,
V0000140,K0696,2024-01-02,10:00,2024,1,GYM,
V0000141,K0369,2024-01-02,10:10,2024,1,GYM,
V0000142,K0023,2024-01-02,10:35,2024,1,GYM,
V0000143,K0780,2024-01-02,10:50,2024,1,GYM,
V0000144,K0549,2024-01-02,11:00,2024,1,PASS,P06
V0000145,K0251,2024-01-02,11:00,2024,1,PASS,P06
V0000146,K0401,2024-01-02,11:00,2024,1,PASS,P06
V0000147,K0146,2024-01-02,11:00,2024,1,PASS,P06
V0000148,K0431,2024-01-02,11:00,2024,1,PASS,P06
V0000149,K0027,2024-01-02,11:00,2024,1,PASS,P06
V0000150,K0584,2024-01-02,11:00,2024,1,PASS,P06
V0000151,K0078,2024-01-02,11:00,2024,1,PASS,P06
V0000152,K0913,2024-01-02,11:00,2024,1,PASS,P06
V0000153,K0787,2024-01-02,11:00,2024,1,PASS,P06
V0000154,K0301,2024-01-02,11:00,2024,1,PASS,P06
V0000155,K0316,2024-01-02,11:00,2024,1,PASS,P06
V0000156,K0335,2024-01-02,11:00,2024,1,PASS,P06
V0000157,K0300,2024-01-02,11:00,2024,1,PASS,P06
V0000158,K0517,2024-01-02,11:15,2024,1,GYM,
V0000159,K0851,2024-01-02,11:20,2024,1,GYM,
V0000160,K0682,2024-01-02,11:35,2024,1,GYM,
V0000161,K0516,2024-01-02,11:45,2024,1,GYM,
V0000162,K0018,2024-01-02,12:00,2024,1,GYM,
V0000163,K0542,2024-01-02,12:25,2024,1,GYM,
V0000164,K0356,2024-01-02,12:40,2024,1,GYM,
V0000165,K0567,2024-01-02,13:05,2024,1,GYM,
V0000166,K0794,2024-01-02,13:15,2024,1,GYM,
V0000167,K0920,2024-01-02,13:25,2024,1,GYM,
V0000168,K0496,2024-01-02,14:25,2024,1,GYM,
V0000169,K0625,2024-01-02,15:00,2024,1,PASS,P07
V0000170,K0085,2024-01-02,15:00,2024,1,PASS,P07
V0000171,K0064,2024-01-02,15:00,2024,1,PASS,P07
V0000172,K0024,2024-01-02,15:00,2024,1,PASS,P07
V0000173,K0022,2024-01-02,15:00,2024,1,PASS,P07
V0000174,K0483,2024-01-02,15:00,2024,1,PASS,P07
V0000175,K0516,2024-01-02,15:00,2024,1,PASS,P07
V0000176,K0312,2024-01-02,15:00,2024,1,PASS,P07
V0000177,K0841,2024-01-02,15:00,2024,1,PASS,P07
V0000178,K0858,2024-01-02,15:00,2024,1,PASS,P07
V0000179,K0106,2024-01-02,15:00,2024,1,PASS,P07
V0000180,K0453,2024-01-02,15:00,2024,1,PASS,P07
V0000181,K0307,2024-01-02,15:00,2024,1,PASS,P07
V0000182,K0493,2024-01-02,15:00,2024,1,PASS,P07
V0000183,K0308,2024-01-02,15:00,2024,1,PASS,P07
V0000184,K0617,2024-01-02,15:00,2024,1,PASS,P07
V0000185,K0784,2024-01-02,15:00,2024,1,PASS,P07
V0000186,K0202,2024-01-02,15:00,2024,1,PASS,P07
V0000187,K0585,2024-01-02,15:40,2024,1,GYM,
V0000188,K0168,2024-01-02,16:45,2024,1,GYM,
V0000189,K0324,2024-01-02,18:00,2024,1,PASS,P08
V0000190,K0835,2024-01-02,18:00,2024,1,PASS,P08
V0000191,K0459,2024-01-02,18:00,2024,1,PASS,P08
V0000192,K0098,2024-01-02,18:00,2024,1,PASS,P08
V0000193,K0857,2024-01-02,18:00,2024,1,PASS,P08
V0000194,K0707,2024-01-02,18:00,2024,1,PASS,P08
V0000195,K0259,2024-01-02,18:00,2024,1,PASS,P08
V0000196,K0278,2024-01-02,18:00,2024,1,PASS,P08
V0000197,K0366,2024-01-02,18:00,2024,1,PASS,P08
V0000198,K0545,2024-01-02,18:00,2024,1,PASS,P08
V0000199,K0015,2024-01-02,18:00,2024,1,PASS,P08
V0000200,K0176,2024-01-02,18:00,2024,1,PASS,P08
V0000201,K0269,2024-01-02,18:50,2024,1,GYM,
V0000202,K0286,2024-01-02,19:00,2024,1,GYM,
V0000203,K0279,2024-01-02,19:10,2024,1,GYM,
V0000204,K0462,2024-01-02,19:25,2024,1,GYM,
V0000205,K0799,2024-01-02,19:30,2024,1,GYM,
V0000206,K0704,2024-01-02,20:30,2024,1,GYM,
V0000207,K0005,2024-01-02,21:25,2024,1,GYM,
V0000208,K0900,2024-01-02,21:45,2024,1,GYM,
V0000209,K0126,2024-01-03,06:15,2024,1,GYM,
V0000210,K0643,2024-01-03,06:25,2024,1,GYM,
V0000211,K0307,2024-01-03,06:40,2024,1,GYM,
V0000212,K0417,2024-01-03,07:10,2024,1,GYM,
V0000213,K0457,2024-01-03,07:15,2024,1,GYM,
V0000214,K0163,2024-01-03,07:30,2024,1,PASS,P09
V0000215,K0516,2024-01-03,07:30,2024,1,PASS,P09
V0000216,K0123,2024-01-03,07:30,2024,1,PASS,P09
V0000217,K0799,2024-01-03,07:30,2024,1,PASS,P09
V0000218,K0650,2024-01-03,07:30,2024,1,PASS,P09
V0000219,K0453,2024-01-03,07:30,2024,1,PASS,P09
V0000220,K0467,2024-01-03,07:30,2024,1,PASS,P09
V0000221,K0049,2024-01-03,07:30,2024,1,PASS,P09
V0000222,K0398,2024-01-03,07:30,2024,1,PASS,P09
V0000223,K0617,2024-01-03,07:30,2024,1,PASS,P09
V0000224,K0109,2024-01-03,07:30,2024,1,PASS,P09
V0000225,K0747,2024-01-03,07:30,2024,1,PASS,P09
V0000226,K0356,2024-01-03,07:30,2024,1,PASS,P09
V0000227,K0528,2024-01-03,07:30,2024,1,PASS,P09
V0000228,K0668,2024-01-03,07:30,2024,1,PASS,P09
V0000229,K0516,2024-01-03,07:30,2024,1,GYM,
V0000230,K0360,2024-01-03,07:55,2024,1,GYM,
V0000231,K0374,2024-01-03,08:00,2024,1,GYM,
V0000232,K0032,2024-01-03,08:05,2024,1,GYM,
V0000233,K0843,2024-01-03,08:15,2024,1,GYM,
V0000234,K0903,2024-01-03,08:45,2024,1,GYM,
V0000235,K0511,2024-01-03,08:50,2024,1,GYM,
V0000236,K0276,2024-01-03,08:55,2024,1,GYM,
V0000237,K0598,2024-01-03,09:00,2024,1,GYM,
V0000238,K0779,2024-01-03,09:00,2024,1,GYM,
V0000239,K0666,2024-01-03,09:30,2024,1,GYM,
V0000240,K0110,2024-01-03,10:25,2024,1,GYM,
V0000241,K0845,2024-01-03,10:30,2024,1,PASS,P10
V0000242,K0694,2024-01-03,10:30,2024,1,PASS,P10
V0000243,K0061,2024-01-03,10:30,2024,1,PASS,P10
V0000244,K0631,2024-01-03,10:30,2024,1,PASS,P10
V0000245,K0709,2024-01-03,10:30,2024,1,PASS,P10
V0000246,K0587,2024-01-03,10:30,2024,1,PASS,P10
V0000247,K0669,2024-01-03,10:30,2024,1,PASS,P10
V0000248,K0157,2024-01-03,10:30,2024,1,PASS,P10
V0000249,K0638,2024-01-03,10:30,2024,1,PASS,P10
V0000250,K0687,2024-01-03,10:30,2024,1,PASS,P10
V0000251,K0376,2024-01-03,10:30,2024,1,PASS,P10
V0000252,K0146,2024-01-03,10:30,2024,1,PASS,P10
V0000253,K0766,2024-01-03,10:30,2024,1,PASS,P10
V0000254,K0017,2024-01-03,10:30,2024,1,PASS,P10
V0000255,K0611,2024-01-03,10:30,2024,1,PASS,P10
V0000256,K0310,2024-01-03,10:30,2024,1,PASS,P10
V0000257,K0180,2024-01-03,10:30,2024,1,PASS,P10
V0000258,K0684,2024-01-03,10:35,2024,1,GYM,
V0000259,K0091,2024-01-03,11:00,2024,1,GYM,
V0000260,K0722,2024-01-03,11:20,2024,1,GYM,
V0000261,K0830,2024-01-03,11:30,2024,1,GYM,
V0000262,K0943,2024-01-03,11:30,2024,1,GYM,
V0000263,K0492,2024-01-03,11:35,2024,1,GYM,
V0000264,K0222,2024-01-03,11:40,2024,1,GYM,
V0000265,K0085,2024-01-03,14:05,2024,1,GYM,
V0000266,K0842,2024-01-03,14:35,2024,1,GYM,
V0000267,K0666,2024-01-03,14:45,2024,1,GYM,
V0000268,K0205,2024-01-03,14:50,2024,1,GYM,
V0000269,K0169,2024-01-03,15:05,2024,1,GYM,
V0000270,K0283,2024-01-03,15:10,2024,1,GYM,
V0000271,K0703,2024-01-03,15:50,2024,1,GYM,
V0000272,K0488,2024-01-03,15:55,2024,1,GYM,
V0000273,K0011,2024-01-03,16:25,2024,1,GYM,
V0000274,K0769,2024-01-03,16:30,2024,1,PASS,P11
V0000275,K0880,2024-01-03,16:30,2024,1,PASS,P11
V0000276,K0835,2024-01-03,16:30,2024,1,PASS,P11
V0000277,K0570,2024-01-03,16:30,2024,1,PASS,P11
V0000278,K0329,2024-01-03,16:30,2024,1,PASS,P11
V0000279,K0834,2024-01-03,16:30,2024,1,PASS,P11
V0000280,K0659,2024-01-03,16:30,2024,1,PASS,P11
V0000281,K0882,2024-01-03,16:30,2024,1,PASS,P11
V0000282,K0086,2024-01-03,16:30,2024,1,PASS,P11
V0000283,K0816,2024-01-03,16:30,2024,1,PASS,P11
V0000284,K0294,2024-01-03,16:30,2024,1,PASS,P11
V0000285,K0517,2024-01-03,16:30,2024,1,PASS,P11
V0000286,K0700,2024-01-03,16:30,2024,1,PASS,P11
V0000287,K0316,2024-01-03,16:30,2024,1,GYM,
V0000288,K0086,2024-01-03,16:45,2024,1,GYM,
V0000289,K0886,2024-01-03,16:50,2024,1,GYM,
V0000290,K0725,2024-01-03,17:05,2024,1,GYM,
V0000291,K0642,2024-01-03,18:10,2024,1,GYM,
V0000292,K0695,2024-01-03,18:20,2024,1,GYM,
V0000293,K0673,2024-01-03,19:00,2024,1,PASS,P12
V0000294,K0011,2024-01-03,19:00,2024,1,PASS,P12
V0000295,K0675,2024-01-03,19:00,2024,1,PASS,P12
V0000296,K0487,2024-01-03,19:00,2024,1,PASS,P12
V0000297,K0356,2024-01-03,19:00,2024,1,PASS,P12
V0000298,K0901,2024-01-03,19:00,2024,1,PASS,P12
V0000299,K0882,2024-01-03,19:00,2024,1,PASS,P12
V0000300,K0834,2024-01-03,19:00,2024,1,PASS,P12
V0000301,K0348,2024-01-03,19:00,2024,1,PASS,P12
V0000302,K0494,2024-01-03,19:00,2024,1,PASS,P12
V0000303,K0443,2024-01-03,19:00,2024,1,PASS,P12
V0000304,K0424,2024-01-03,19:00,2024,1,PASS,P12
V0000305,K0894,2024-01-03,19:00,2024,1,PASS,P12
V0000306,K0194,2024-01-03,19:00,2024,1,PASS,P12
V0000307,K0134,2024-01-03,19:45,2024,1,GYM,
V0000308,K0417,2024-01-03,20:05,2024,1,GYM,
V0000309,K0344,2024-01-03,20:35,2024,1,GYM,
V0000310,K0169,2024-01-03,21:20,2024,1,GYM,
V0000311,K0637,2024-01-03,21:45,2024,1,GYM,
V0000312,K0648,2024-01-04,06:25,2024,1,GYM,
V0000313,K0731,2024-01-04,06:35,2024,1,GYM,
V0000314,K0677,2024-01-04,06:40,2024,1,GYM,
V0000315,K0727,2024-01-04,06:50,2024,1,GYM,
V0000316,K0030,2024-01-04,07:25,2024,1,GYM,
V0000317,K0480,2024-01-04,07:30,2024,1,GYM,
V0000318,K0560,2024-01-04,07:40,2024,1,GYM,
V0000319,K0871,2024-01-04,07:45,2024,1,GYM,
V0000320,K0120,2024-01-04,07:55,2024,1,GYM,
V0000321,K0600,2024-01-04,08:05,2024,1,GYM,
V0000322,K0133,2024-01-04,08:30,2024,1,PASS,P13
V0000323,K0283,2024-01-04,08:30,2024,1,PASS,P13
V0000324,K0799,2024-01-04,08:30,2024,1,PASS,P13
V0000325,K0881,2024-01-04,08:30,2024,1,PASS,P13
V0000326,K0320,2024-01-04,08:30,2024,1,PASS,P13
V0000327,K0312,2024-01-04,08:30,2024,1,PASS,P13
V0000328,K0219,2024-01-04,08:30,2024,1,PASS,P13
V0000329,K0147,2024-01-04,08:30,2024,1,PASS,P13
V0000330,K0180,2024-01-04,08:30,2024,1,PASS,P13
V0000331,K0841,2024-01-04,08:30,2024,1,PASS,P13
V0000332,K0626,2024-01-04,08:30,2024,1,PASS,P13
V0000333,K0723,2024-01-04,08:30,2024,1,PASS,P13
V0000334,K0590,2024-01-04,08:40,2024,1,GYM,
V0000335,K0947,2024-01-04,09:25,2024,1,GYM,
V0000336,K0941,2024-01-04,09:30,2024,1,GYM,
V0000337,K0603,2024-01-04,09:45,2024,1,GYM,
V0000338,K0424,2024-01-04,11:00,2024,1,GYM,
V0000339,K0018,2024-01-04,11:35,2024,1,GYM,
V0000340,K0879,2024-01-04,12:00,2024,1,PASS,P14
V0000341,K0431,2024-01-04,12:00,2024,1,PASS,P14
V0000342,K0867,2024-01-04,12:00,2024,1,PASS,P14
V0000343,K0731,2024-01-04,12:00,2024,1,PASS,P14
V0000344,K0638,2024-01-04,12:00,2024,1,PASS,P14
V0000345,K0174,2024-01-04,12:00,2024,1,PASS,P14
V0000346,K0787,2024-01-04,12:00,2024,1,PASS,P14
V0000347,K0687,2024-01-04,12:00,2024,1,PASS,P14
V0000348,K0538,2024-01-04,12:00,2024,1,PASS,P14
V0000349,K0709,2024-01-04,12:00,2024,1,PASS,P14
V0000350,K0549,2024-01-04,12:00,2024,1,PASS,P14
V0000351,K0905,2024-01-04,12:00,2024,1,PASS,P14
V0000352,K0694,2024-01-04,12:00,2024,1,PASS,P14
V0000353,K0301,2024-01-04,12:00,2024,1,PASS,P14
V0000354,K0134,2024-01-04,12:00,2024,1,PASS,P14
V0000355,K0067,2024-01-04,12:00,2024,1,PASS,P14
V0000356,K0328,2024-01-04,12:55,2024,1,GYM,
V0000357,K0370,2024-01-04,13:00,2024,1,GYM,
V0000358,K0042,2024-01-04,13:20,2024,1,GYM,
V0000359,K0945,2024-01-04,13:25,2024,1,GYM,
V0000360,K0878,2024-01-04,13:25,2024,1,GYM,
V0000361,K0902,2024-01-04,13:35,2024,1,GYM,
V0000362,K0910,2024-01-04,15:05,2024,1,GYM,
V0000363,K0754,2024-01-04,15:15,2024,1,GYM,
V0000364,K0009,2024-01-04,15:30,2024,1,PASS,P15
V0000365,K0477,2024-01-04,15:30,2024,1,PASS,P15
V0000366,K0673,2024-01-04,15:30,2024,1,PASS,P15
V0000367,K0605,2024-01-04,15:30,2024,1,PASS,P15
V0000368,K0097,2024-01-04,15:30,2024,1,PASS,P15
V0000369,K0066,2024-01-04,15:30,2024,1,PASS,P15
V0000370,K0029,2024-01-04,15:30,2024,1,PASS,P15
V0000371,K0881,2024-01-04,15:30,2024,1,PASS,P15
V0000372,K0298,2024-01-04,15:30,2024,1,PASS,P15
V0000373,K0299,2024-01-04,15:30,2024,1,PASS,P15
V0000374,K0763,2024-01-04,15:30,2024,1,PASS,P15
V0000375,K0914,2024-01-04,15:30,2024,1,PASS,P15
V0000376,K0799,2024-01-04,15:30,2024,1,PASS,P15
V0000377,K0194,2024-01-04,15:30,2024,1,PASS,P15
V0000378,K0441,2024-01-04,15:30,2024,1,PASS,P15
V0000379,K0686,2024-01-04,15:30,2024,1,PASS,P15
V0000380,K0202,2024-01-04,15:30,2024,1,PASS,P15
V0000381,K0860,2024-01-04,15:30,2024,1,PASS,P15
V0000382,K0007,2024-01-04,15:35,2024,1,GYM,
V0000383,K0618,2024-01-04,16:55,2024,1,GYM,
V0000384,K0080,2024-01-04,17:10,2024,1,GYM,
V0000385,K0154,2024-01-04,17:25,2024,1,GYM,
V0000386,K0553,2024-01-04,17:50,2024,1,GYM,
V0000387,K0038,2024-01-04,18:30,2024,1,PASS,P16
V0000388,K0100,2024-01-04,18:30,2024,1,PASS,P16
V0000389,K0741,2024-01-04,18:30,2024,1,PASS,P16
V0000390,K0086,2024-01-04,18:30,2024,1,PASS,P16
V0000391,K0308,2024-01-04,18:30,2024,1,PASS,P16
V0000392,K0015,2024-01-04,18:30,2024,1,PASS,P16
V0000393,K0310,2024-01-04,18:30,2024,1,PASS,P16
V0000394,K0705,2024-01-04,18:30,2024,1,PASS,P16
V0000395,K0558,2024-01-04,18:30,2024,1,PASS,P16
V0000396,K0276,2024-01-04,18:30,2024,1,PASS,P16
V0000397,K0737,2024-01-04,18:30,2024,1,PASS,P16
V0000398,K0136,2024-01-04,18:30,2024,1,PASS,P16
V0000399,K0491,2024-01-04,18:30,2024,1,PASS,P16
V0000400,K0307,2024-01-04,18:30,2024,1,PASS,P16
V0000401,K0827,2024-01-04,18:30,2024,1,PASS,P16
V0000402,K0784,2024-01-04,18:30,2024,1,PASS,P16
V0000403,K0467,2024-01-04,18:30,2024,1,PASS,P16
V0000404,K0350,2024-01-04,18:55,2024,1,GYM,
V0000405,K0078,2024-01-04,19:25,2024,1,GYM,
V0000406,K0331,2024-01-04,19:35,2024,1,GYM,
V0000407,K0398,2024-01-04,20:50,2024,1,GYM,
V0000408,K0261,2024-01-04,21:05,2024,1,GYM,
V0000409,K0319,2024-01-04,21:55,2024,1,GYM,
V0000410,K0244,2024-01-04,22:00,2024,1,GYM,
V0000411,K0327,2024-01-05,06:30,2024,1,GYM,
V0000412,K0696,2024-01-05,06:50,2024,1,GYM,
V0000413,K0597,2024-01-05,07:35,2024,1,GYM,
V0000414,K0327,2024-01-05,07:55,2024,1,GYM,
V0000415,K0905,2024-01-05,08:05,2024,1,GYM,
V0000416,K0318,2024-01-05,08:45,2024,1,GYM,
V0000417,K0875,2024-01-05,09:00,2024,1,PASS,P17
V0000418,K0078,2024-01-05,09:00,2024,1,PASS,P17
V0000419,K0157,2024-01-05,09:00,2024,1,PASS,P17
V0000420,K0766,2024-01-05,09:00,2024,1,PASS,P17
V0000421,K0584,2024-01-05,09:00,2024,1,PASS,P17
V0000422,K0431,2024-01-05,09:00,2024,1,PASS,P17
V0000423,K0731,2024-01-05,09:00,2024,1,PASS,P17
V0000424,K0652,2024-01-05,09:00,2024,1,PASS,P17
V0000425,K0631,2024-01-05,09:00,2024,1,PASS,P17
V0000426,K0787,2024-01-05,09:00,2024,1,PASS,P17
V0000427,K0829,2024-01-05,09:00,2024,1,PASS,P17
V0000428,K0709,2024-01-05,09:00,2024,1,PASS,P17
V0000429,K0401,2024-01-05,09:00,2024,1,PASS,P17
V0000430,K0251,2024-01-05,09:00,2024,1,PASS,P17
V0000431,K0545,2024-01-05,09:00,2024,1,PASS,P17
V0000432,K0705,2024-01-05,09:00,2024,1,PASS,P17
V0000433,K0356,2024-01-05,09:00,2024,1,PASS,P17
V0000434,K0180,2024-01-05,09:00,2024,1,PASS,P17
V0000435,K0780,2024-01-05,09:20,2024,1,GYM,
V0000436,K0027,2024-01-05,09:30,2024,1,GYM,
V0000437,K0094,2024-01-05,09:35,2024,1,GYM,
V0000438,K0304,2024-01-05,09:40,2024,1,GYM,
V0000439,K0739,2024-01-05,09:55,2024,1,GYM,
V0000440,K0663,2024-01-05,10:15,2024,1,GYM,
V0000441,K0160,2024-01-05,10:20,2024,1,GYM,
V0000442,K0239,2024-01-05,10:25,2024,1,GYM,
V0000443,K0669,2024-01-05,10:55,2024,1,GYM,
V0000444,K0875,2024-01-05,11:40,2024,1,GYM,
V0000445,K0387,2024-01-05,12:05,2024,1,GYM,
V0000446,K0123,2024-01-05,12:25,2024,1,GYM,
